lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-118.6275,43.6425,1929-07-05 14:00:00,buchanan  (or burns),or,us,disk,60.0,we were traveling east of burns&#44clmbing up thru a cut in the rim rocks when this object very slowely flew over the top of us&#44 some 50 f,1929,7,5
-88.0641667,34.9180556,1939-06-01 20:00:00,waterloo,al,us,fireball,300.0,4 high school students see bright&#44 ground-level&#44 slow moving fireball in the late 1930&#39s,1939,6,1
-84.41027779999999,33.66,1942-06-01 22:30:00,hapeville,ga,us,unknown,180.0,bright object approchjng Venus&#44 1940&#39s,1942,6,1
-84.5127778,36.4980556,1942-07-15 01:00:00,oneida,tn,us,rectangle,120.0,Two children walking along highway saw unfamiliar object in sky.,1942,7,15
-80.2444444,36.0997222,1945-06-07 07:00:00,winston-salem,nc,us,disk,2.0,I always thought this sighting should be on an official list&#44 now&#44 60 yrs. later&#44 it is.,1945,6,7
-76.29861109999999,36.8352778,1945-07-10 01:30:00,portsmouth,va,us,formation,180.0,1945  RED  FLICKERING  V FORMATION  CRAFTS  MOVING  EXTREEML  FAST .,1945,7,10
-120.6155556,39.781111100000004,1946-06-30 19:00:00,blairsden,ca,us,sphere,10.0,Looked up and saw sphere or disk 30-50 feet in diameter which was white or pale green in color.,1946,6,30
-70.2413889,43.641388899999995,1946-07-01 13:30:00,south portland,me,us,oval,10.0,motionless&#44 dark oblong&#44 noon sky over ocean&#44 felt Energy-Pull of Observing craft; when spotted&#44accelerated straight upwards fast,1946,7,1
-114.3613889,32.7552778,1946-09-30 20:30:00,dome,az,us,flash,40.0,observed sudden&#44very bright flash of light from large &#44flying object that appeared to be on fire.,1946,9,30
-76.1477778,43.048055600000005,1947-02-20 22:15:00,syracuse,ny,us,disk,360.0,1947-Chance observation of night sky reveals many UFO&#39s traversing upper atmosphere....,1947,2,20
-81.69555559999999,41.499444399999994,1947-06-01 02:30:00,cleveland,oh,us,light,300.0,It was about 2:15 in the morning when my wife woke me from a deep sleep and began to complain of stomach problems. As I was getting out,1947,6,1
-79.8425,40.521666700000004,1947-06-13 20:18:00,oakmont,pa,us,unknown,600.0,a very brillant blue-white object coming towards us lowering above us and hovering over us a few minutes before shooting straight up,1947,6,13
