lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-87.7844444,41.885,1965-07-07 22:30:00,oak park,il,us,unknown,600.0,After hovering motionless for hours&#44 a mysterious arial light performs aerodynamically impossible maneuvers.,1965,7,7
-91.64388890000001,42.0083333,1967-06-06 12:00:00,cedar rapids,ia,us,oval,120.0,Bright-as-chrome object hovering,1967,6,6
-122.45555559999998,37.873611100000005,1967-11-02 22:00:00,tiburon,ca,us,teardrop,20.0,Teardrop outlined in white light&#44 three circular white lights in dark interior&#44 silent.,1967,11,2
-83.6325,32.8405556,1973-07-01 21:00:00,macon,ga,us,disk,60.0,GEORGIA UFO GROUP/MUFON (joint post)-Debriefing of Witness-Probable Wave of 1973,1973,7,1
-81.9352778,40.805,1974-04-15 22:00:00,wooster,oh,us,sphere,600.0,Large sphere&#44 surface covered with different colored &#39domes&#39&#44 so that no smooth surface was visible.,1974,4,15
-82.2169444,29.4233333,1975-08-15 06:00:00,orange lake,fl,us,disk,15.0,gray shaped like 1/3 ball top of disk rotated but not 360 degrees it roated clockwise then counter clockwise several degrees moving ver,1975,8,15
-98.4933333,29.423888899999998,1977-06-01 21:00:00,san antonio,tx,us,oval,600.0,the object just stood there quietly just starring at use it filled the sky .,1977,6,1
-71.27722220000001,43.0777778,1978-10-15 22:00:00,candia,nh,us,oval,1200.0,Very large object seen in mid October 1978,1978,10,15
-73.6258333,40.58888889999999,1986-01-16 09:10:00,lido beach,ny,us,circle,1200.0,The Object was above our car hovering.  We didn&#39t see it move towards us ...it was just there in an instance.,1986,1,16
-80.72111109999999,40.063888899999995,1986-10-01 22:00:00,wheeling,wv,us,light,10.0,Missing time after seeing something that looked like the Northern lights.,1986,10,1
-94.86583329999999,34.898611100000004,1987-06-23 01:30:00,summerfield,ok,us,light,600.0,Unexplained Object seen in LeFlore County&#44 Oklahoma.,1987,6,23
-67.11361109999999,18.396666699999997,1989-11-15 23:00:00,moca (puerto rico),pr,us,unknown,60.0,Late&#44 cloudy night in Moca&#44 Puerto Rico.  I saw immense&#44 pulsing lights of varied colors slowing passing above the clouds.  Could not m,1989,11,15
-157.8583333,21.3069444,1990-12-10 18:00:00,honolulu (hawaii kai),hi,us,flash,3600.0,In Hawaii Kai late 80&#39s to early 90&#39s over Kamehame Ridge one flash turns into hundreds and other multiples.,1990,12,10
-106.0427778,39.6302778,1994-01-15 00:00:00,dillon,co,us,sphere,18000.0,ufo activity at lake dillon&#44colorado,1994,1,15
-81.3708333,30.1925,1994-06-12 21:30:00,sawgrass,fl,us,other,360.0,This is an addition to my previous report. Minor details I felt should be included.,1994,6,12
-84.77,34.7658333,1995-08-15 17:00:00,chatsworth (fort mountain community),ga,us,teardrop,120.0,GEORGIA UFO GROUP REPORT/MUFON of Georgia (joint post):  Fort Mountain teardrop Craft,1995,8,15
-74.2111111,40.663888899999996,1995-11-09 16:30:00,elizabeth,nj,us,oval,90.0,While driving on Route 1&amp;9 in Elizabeth Near Newark Airport I was looking at an airplane that was taking off on an upward incline. At t,1995,11,9
-73.3038889,41.413888899999996,1996-12-15 18:30:00,newtown,ct,us,teardrop,60.0,Strange craft appeared in sky &#44 then zoomed away,1996,12,15
-82.02027779999999,38.4325,1997-11-10 21:45:00,hurricane,wv,us,circle,2.0,I was riding in the car and looked out the window. I then saw a circle about as big as a full moon flash across the sky and the disappe,1997,11,10
